ExpID,PublicationID,PublicationName,IonExpNum,Cells,CellClass,CellOrigin,CellCycle,DNAcontent,PhotonRadiation,PhotonExpNum,Ion,Charge,IrradiationConditions,LET,Energy,ax_paper,bx_paper,ai_paper,bi_paper,ax_fit,bx_fit,ai_fit,bi_fit
39,3,blakely79,17,T1,n,h,a,6.0,220kVp,1,40Ar,18,m,81.0,680.0,0.1,0.047,0.52,0.098,0.233407463909677,0.0319967557060337,0.501811701143102,0.10490902658675
40,3,blakely79,18,T1,n,h,a,6.0,220kVp,1,40Ar,18,m,91.0,500.0,0.1,0.047,0.73,0.089,0.233407463909677,0.0319967557060337,0.674069527114899,0.0906817059242474
41,3,blakely79,19,T1,n,h,a,6.0,220kVp,1,40Ar,18,m,117.0,290.0,0.1,0.047,0.79,0.099,0.233407463909677,0.0319967557060337,0.882888015909674,0.0814636148545131
42,3,blakely79,20,T1,n,h,a,6.0,220kVp,1,40Ar,18,m,144.0,200.0,0.1,0.047,0.83,0.08,0.233407463909677,0.0319967557060337,0.870648611077774,0.0706845300665106
43,3,blakely79,21,T1,n,h,a,6.0,220kVp,1,40Ar,18,m,184.0,140.0,0.1,0.047,0.74,0.087,0.233407463909677,0.0319967557060337,0.650413550810996,0.0738936167169041
44,3,blakely79,22,T1,n,h,a,6.0,220kVp,1,40Ar,18,m,245.0,95.0,0.1,0.047,0.79,0.021,0.233407463909677,0.0319967557060337,0.787489413725547,0.0185455177631783
45,3,blakely79,23,T1,n,h,a,6.0,220kVp,1,40Ar,18,m,328.0,65.0,0.1,0.047,0.75,0.002,0.233407463909677,0.0319967557060337,0.785593608830369,-0.00842477591151073
46,3,blakely79,24,T1,n,h,a,6.0,220kVp,1,40Ar,18,m,640.0,27.0,0.1,0.047,0.58,0.0001,0.233407463909677,0.0319967557060337,0.689777813150032,-0.0127852595275437
47,4,raju91,1,CHO-10B,n,r,a,5.6,60Co,1,4He,2,m,125.0,0.75,,,,,0.235038447180931,0.0306702012774562,1.45403807703401,0.0
48,4,raju91,2,HS-23,n,r,a,5.6,60Co,2,4He,2,m,136.0,0.65,,,,,0.339709573604166,0.0284225728594397,1.79593420011855,-0.0930815446168731
49,4,raju91,3,C3H10T1/2,n,r,a,5.6,60Co,3,4He,2,m,121.0,0.8,,,,,0.391444836623631,0.0207993710820811,2.06659886628174,0.0
50,4,raju91,4,V79,n,r,a,5.6,60Co,4,4He,2,m,124.0,0.77,,,,,0.189369264344193,0.0129622822656508,1.31208071673979,0.0
51,4,raju91,5,AG1522,n,h,a,6.0,60Co,5,4He,2,m,121.0,0.8,,,,,0.336890187677376,0.108850057285533,2.89899448013765,0.0
52,5,goodhead92,1,HeLa,t,h,a,6.0,250kVp,1,1H,1,m,20.27,1.38,,,0.53,0.084,0.535978771957209,0.0277512396334384,0.51520335507689,0.0859698707749609
53,5,goodhead92,2,HeLa,t,h,a,6.0,250kVp,1,1H,1,m,23.915,1.16,,,0.85,0.037,0.535978771957209,0.0277512396334384,0.616785362576996,0.0630343584857734
54,5,goodhead92,3,HeLa,t,h,a,6.0,250kVp,1,4He,2,m,20.475,8.8,,,0.42,0.08,0.535978771957209,0.0277512396334384,0.433709613141724,0.0794667670628376
55,5,goodhead92,4,HeLa,t,h,a,6.0,250kVp,1,4He,2,m,23.045,7.605,,,0.65,0.059,0.535978771957209,0.0277512396334384,0.541438340777703,0.0702426392187858
56,5,goodhead92,5,HeLaS3,t,h,a,6.0,250kVp,2,1H,1,m,20.27,1.38,,,0.67,0.037,0.779733160656491,0.0,0.71509337425082,0.0300210572775256
57,5,goodhead92,6,HeLaS3,t,h,a,6.0,250kVp,2,1H,1,m,23.915,1.16,,,1.01,-0.001,0.779733160656491,0.0,1.00367897258449,0.0
58,5,goodhead92,7,HeLaS3,t,h,a,6.0,250kVp,2,4He,2,m,20.475,8.8,,,0.71,0.013,0.779733160656491,0.0,0.804714845862166,0.0
59,5,goodhead92,8,HeLaS3,t,h,a,6.0,250kVp,2,4He,2,m,23.045,7.605,,,0.79,0.006,0.779733160656491,0.0,0.854874282841988,0.0
60,5,goodhead92,9,C3H10T1/2,n,r,a,5.6,250kVp,3,1H,1,m,22.09,1.27,,,0.43,0.013,0.175083330776216,0.032809698826204,0.497964892828733,0.0
61,5,goodhead92,10,C3H10T1/2,n,r,a,5.6,250kVp,3,4He,2,m,21.76,8.2,,,0.48,0.014,0.175083330776216,0.032809698826204,0.547456502087833,0.0
62,6,folkard96,1,V79,n,r,a,5.6,240kVp,1,1H,1,m,10.1,3.66,0.13,0.048,0.32,0.039,0.132916965244881,0.0497217887578023,0.295146051007319,0.0458629668382147
63,6,folkard96,2,V79,n,r,a,5.6,240kVp,1,1H,1,m,17.8,1.83,0.13,0.048,0.45,0.028,0.132916965244881,0.0497217887578023,0.461057339454036,0.0257274784838164
64,6,folkard96,3,V79,n,r,a,5.6,240kVp,1,1H,1,m,27.6,1.07,0.13,0.048,0.74,0.011,0.132916965244881,0.0497217887578023,0.774596803289264,0.00805803726924153
65,6,folkard96,4,V79,n,r,a,5.6,240kVp,1,2H,1,m,18.5,1.7,0.13,0.048,0.43,0.055,0.132916965244881,0.0497217887578023,0.485199365724529,0.04482344845381
66,6,folkard96,5,V79,n,r,a,5.6,240kVp,1,2H,1,m,26.3,1.07,0.13,0.048,0.76,0.013,0.132916965244881,0.0497217887578023,0.753406223271143,0.0239596303516231
67,6,folkard96,6,V79,n,r,a,5.6,240kVp,1,2H,1,m,36.1,0.7,0.13,0.048,1.1,0.0,0.132916965244881,0.0497217887578023,1.36748886684528,-0.0590449144023689
